Date;Description;Compte;Montant;Catégorie;Sous-Catégorie;Note;Pointée
"16/07/2023";"Intermarche";"Solde Lydia";"-22.52";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"01/07/2023";"Gaag Fr";"Solde Lydia";"-9.99";"Loisirs & Sorties";"Divertissements";"";"Non"
"24/06/2023";"Lucas Klethi Franprix";"Solde Lydia";"10.0";"Entrées d'argent";"Autres rentrées";"";"Non"
"17/06/2023";"Midjourney Inc.";"Solde Lydia";"-10.99";"Dépenses pro";"Services en ligne";"";"Non"
"10/06/2023";"Tinder";"Solde Lydia";"-23.24";"Loisirs & Sorties";"Divertissements";"";"Non"
"09/06/2023";"Adrien Saux Netflix Mois Decembre)";"Solde Lydia";"27.0";"Entrées d'argent";"Autres rentrées";"";"Non"
"07/06/2023";"Lola Teynier";"Solde Lydia";"15.0";"Entrées d'argent";"Autres rentrées";"";"Non"
"25/05/2023";"Claire Payre Train";"Solde Lydia";"143.0";"Entrées d'argent";"Autres rentrées";"";"Non"
"24/05/2023";"Linas Interieur";"Solde Lydia";"-8.5";"Alimentation & Restau.";"Restaurants";"";"Non"
"16/05/2023";"Adrien Saux Soupe Au Got Amer.";"Solde Lydia";"19.76";"Entrées d'argent";"Autres rentrées";"";"Non"
"16/05/2023";"Chloe Rouneau Courses Soire";"Solde Lydia";"-10.0";"Loisirs & Sorties";"Loisirs & Sorties - Autres";"";"Non"
"14/05/2023";"Theo Peltier Taxi Pour Fuir La Folle";"Solde Lydia";"-4.0";"Auto & Transports";"Auto & Transports - Autres";"";"Non"
"13/05/2023";"Theo Peltier Orangina Dans Le Bar De La Pluie";"Solde Lydia";"4.0";"Entrées d'argent";"Autres rentrées";"";"Non"
"13/05/2023";"Chloe Rouneau Citronnade De Luxe";"Solde Lydia";"8.5";"Entrées d'argent";"Autres rentrées";"";"Non"
"13/05/2023";"Solde Lydia Erwan De Thy";"Solde Lydia";"8.0";"Entrées d'argent";"Autres rentrées";"";"Non"
"14/04/2023";"Remboursement Carte De La Part De Dnh*godaddy.com Europe. Montant Crdit Sur Compte Lydia.";"Solde Lydia";"0.79";"Entrées d'argent";"Remboursements";"";"Non"
"12/04/2023";"Bar Cygale";"Solde Lydia";"-22.5";"Loisirs & Sorties";"Bars / Clubs";"";"Non"
"09/04/2023";"Dnh*godaddy.com Europe";"Solde Lydia";"-0.79";"Dépenses pro";"Services en ligne";"";"Non"
"09/04/2023";"Intermarche";"Solde Lydia";"-10.07";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"08/04/2023";"Intermarche";"Solde Lydia";"-18.62";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"02/04/2023";"Theo Peltier Soda";"Solde Lydia";"-4.2";"Divers";"A catégoriser";"";"Non"
"29/03/2023";"Newrest";"Solde Lydia";"-5.9";"Alimentation & Restau.";"Restaurants";"";"Non"
"24/03/2023";"Newrest";"Solde Lydia";"-5.1";"Alimentation & Restau.";"Restaurants";"";"Non"
"23/03/2023";"Anytime Food";"Solde Lydia";"-8.0";"Alimentation & Restau.";"Fast foods";"";"Non"
"22/03/2023";"Bar Fondamental";"Solde Lydia";"-8.5";"Loisirs & Sorties";"Bars / Clubs";"";"Non"
"22/03/2023";"Bar Fondamental";"Solde Lydia";"-11.5";"Loisirs & Sorties";"Bars / Clubs";"";"Non"
"20/03/2023";"Bar Beer";"Solde Lydia";"-5.5";"Loisirs & Sorties";"Bars / Clubs";"";"Non"
"12/03/2023";"Sodiclichy";"Solde Lydia";"-8.5";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"12/03/2023";"Yu Xingshao";"Solde Lydia";"-25.65";"Loisirs & Sorties";"Sortie au restaurant";"";"Non"
"11/03/2023";"Place Des Fetes";"Solde Lydia";"-29.9";"Loisirs & Sorties";"Bars / Clubs";"";"Non"
"10/03/2023";"Chloe Rouneau Corcooo";"Solde Lydia";"6.5";"Entrées d'argent";"Autres rentrées";"";"Non"
"09/03/2023";"Corcoran S";"Solde Lydia";"-35.6";"Loisirs & Sorties";"Bars / Clubs";"";"Non"
"09/03/2023";"Chloe Rouneau Corcooo";"Solde Lydia";"7.5";"Entrées d'argent";"Autres rentrées";"";"Non"
"07/03/2023";"Camille Mathorel Mme Sarfati";"Solde Lydia";"21.0";"Entrées d'argent";"Autres rentrées";"";"Non"
